# time,count,1 min rate,mean rate,5 min rate,15 min rate
10,2460,204.97168289802977,245.78243338996322,198.80657468853877,197.73850277392404
20,5115,213.9960056518303,255.62846144800457,200.97635300823856,198.48389229615074
30,8968,240.32625498367491,298.8338415863412,207.01794416706178,200.5472597291349
40,13129,267.8681887492115,328.13908498407403,213.89366896490654,202.93067875294358
50,18692,312.2711257848055,373.75739961468514,225.12435633767433,206.83586456857813
60,24040,346.3176721834112,400.5895732033037,235.27440945942718,210.46021633939665
70,29385,375.05684775254326,419.7129300677415,245.07252566693316,214.03794591557354
80,34808,400.96314195331223,435.0308464090777,254.82406817308038,217.66519362248064
90,40436,425.8368341581004,449.2226584949381,264.92457227096793,221.479968291037
100,46109,447.4510719939987,461.0264521138406,274.8279740513653,225.2985882595326
110,51777,465.6307608630356,470.6388340657109,284.39648613896463,229.07239275179336
120,57041,475.0315500661302,475.2827751701333,292.33336478018055,232.35809082883785
130,62691,488.9411537394179,482.18091510078625,301.2739974744311,236.0330927397641
140,68448,502.2231522511517,488.8476732352692,310.27179017502806,239.78713311086787
150,74009,510.68343606260936,493.32854285137216,318.33121583122966,243.28008178096022
160,79729,520.1650442991798,498.24336234560894,326.6477681985064,246.91160602956577
170,85492,528.775105518959,502.8327809213061,334.8293913217843,250.5501514249096
180,90724,527.7785812322323,503.9627574166401,340.99890418638137,253.56215085848453
190,96256,531.5891758951931,506.55241408963207,347.95174961226496,256.87259046101326
200,102063,539.1790710204675,510.2580041809329,355.57905763511417,260.4489371549439
210,107946,546.764160045025,513.972413823642,363.2156881102025,264.07383814699347
220,113864,553.6600666492571,517.5085428746243,370.7035628283614,267.69293611809326
230,119596,556.6764427976472,519.9285135246581,377.3481414330065,271.0708126388613
240,125408,560.4764090468803,522.4801383242502,384.0300801142976,274.4967569436681
250,131411,566.5593632616374,525.5916468672389,391.1163173838303,278.0955773212657
260,137266,569.3852592011008,527.8946780239542,397.48285290718144,281.49085234996676
270,143100,571.6294838993106,529.9491327343558,403.5845259994454,284.82830724991186
280,148634,569.0233422554821,530.7856763617384,408.50166182262853,287.7958124721362
290,154583,573.0687700062151,532.9954942584245,414.61826333725725,291.1905753911532
300,160155,570.5706038411291,533.8014205120573,419.2873759674349,294.12854695518394
310,165882,571.0240755219822,535.0552762237782,424.3196265095793,297.2062294949926
320,171628,571.5468610416605,536.2901740680453,429.2531512643931,300.2742907204651
330,176976,565.970141198726,536.2442054705775,432.72401597687,302.86911240230654
340,182354,561.4798893254707,536.2892221415013,436.1486271486208,305.4590558110919
350,188234,565.5205073169125,537.7657261670719,441.12035051794624,308.57881333076574
360,194129,569.1685457363378,539.201833410112,445.9807707071807,311.68169218028396
370,199893,570.178976949569,540.206393039295,450.2521598072459,314.60624761323106
380,205606,570.3472653712325,541.023889091571,454.22828430270835,317.4456891233828
390,211280,569.7413412680071,541.6993606852761,457.92144692172184,320.20272512530147
400,217141,572.2923214145698,542.8085705023892,462.1227107946636,323.1399455016467
410,222946,573.5971092210752,543.7271234658514,466.00811502619405,325.98492006532604
420,228790,575.151985470413,544.6944781793092,469.8850369629331,328.8398088679813
430,234553,575.500843740853,545.4287732942662,473.38373335213686,331.5760076611018
440,240015,571.075543272689,545.4455845915744,475.7845398281129,333.9519943168247
450,245619,569.3669075752622,545.7772510871798,478.537227680143,336.4466029876736
460,251418,570.9270329847511,546.5184193410369,481.8578632064774,339.1363950795032
470,257321,573.8858033931606,547.4492786927435,485.4149863869585,341.9126127707166
480,263208,576.1996803782979,548.3080635716045,488.8001429634248,344.63867632794313
490,269242,580.3754265290456,549.4317776074387,492.55717316128835,347.4978882203087
500,275161,582.243100884416,550.280403203761,495.8156028567805,350.1978777906044
510,281039,582.9932697099168,551.0154296260573,498.8294344123817,352.8238258792703
520,287018,585.2989682937891,551.9164864350906,502.0728460461843,355.52984247412905
530,292701,582.6950696087562,552.2250282549301,504.24427628032373,357.88089750861644
540,298528,582.5436667198805,552.7888696399584,506.8072361266595,360.36329927308503
550,304540,585.448669356955,553.6684254732447,509.90354744687704,363.02464749687203
560,310382,585.2071112051639,554.213068349937,512.3371439777796,365.4683096321949
570,316355,587.016274328366,554.9684451964358,515.1179133582283,368.0287011325999
580,322281,587.8926569490551,555.6167484518489,517.658897879653,370.51021864069526
590,328264,589.5351334501258,556.3396988534959,520.3071627455969,373.0284531977157
600,333794,583.9909176618368,556.2835887251975,521.3895888661913,375.0204726217874
610,339623,583.7089735203161,556.7194482431498,523.3907589437435,377.3127858745394
620,345350,582.0259270799475,556.9766708285277,525.007608659963,379.4717722901833
630,351173,582.0884684259046,557.378133308883,526.8893736050231,381.71407476227836
640,357274,586.3663575456314,558.2014026295684,529.6111407903721,384.2354803060307
650,363168,586.7962768869858,558.6809653907028,531.569722863099,386.50229649695734
660,369138,588.362122203409,559.2610618722497,533.722623356322,388.831304997427
670,375058,588.9685230110574,559.7492590524803,535.6273637812552,391.0733762929322
680,381004,589.8061897270753,560.261311484701,537.5543238971613,393.32007474704693
690,386943,590.3854391224337,560.7483372148799,539.3994512959318,395.5361684982584
700,392652,587.4829471238814,560.8929873699013,540.441204954144,397.47635979930567
710,398310,584.3101696235783,560.9617392490354,541.2687401395359,399.3328942235312
720,403900,580.7443296017813,560.9341036335798,541.8899268944549,401.1090012210207
730,409747,581.3023009778972,561.2592199692789,543.2703226275365,403.129123570871
740,415702,583.4556786142131,561.7215257975558,544.9762495774561,405.2525584297576
750,421603,584.3753349112096,562.099519774439,546.4512929496151,407.2945688145624
760,427595,586.6652562951053,562.5872548366788,548.1812022855044,409.4151166467686
770,432978,579.3828849020387,562.2715078052419,547.8685955972414,410.84199148833346
780,438723,578.6703782629681,562.4279204263313,548.7511295830857,412.6536206839334
790,444737,582.1124298902843,562.9208043029848,550.4594068707302,414.7327797841229
800,450558,582.119480606847,563.1601793749128,551.4997140936829,416.5831966802532
810,456539,584.4813462159103,563.5910790701708,553.0183010724734,418.58638518520763
820,462117,580.4319667393435,563.5201316166808,553.184926298778,420.12795938643717
830,468084,582.8731230293977,563.9206913726829,554.6012478241195,422.0756477043284
840,473919,583.0768406491953,564.1522484475654,555.576855795589,423.86912127754795
